lat,long,region,cases,deaths,recovered,lastUpdate,beds
13.4443,144.7937,Guam,12,0,0,3/15/2020,
18.2208,-66.5901,PR,5,0,0,3/16/2020,
18.3358,-64.8963,VI,2,0,0,3/16/2020,
21.094318,-157.498337,HI,16,0,0,3/16/2020,1.9
27.766279,-81.686783,FL,381,4,0,3/16/2020,2.6
31.054487,-97.563461,TX,255,0,0,3/16/2020,2.3
31.169546,-91.867805,LA,339,2,0,3/16/2020,3.3
32.3182,-86.9023,AL,69,0,0,3/16/2020,3.1
32.741646,-89.678696,MS,51,0,0,3/16/2020,4
33.040619,-83.643074,GA,277,1,0,3/16/2020,2.4
33.729759,-111.431221,AZ,44,0,1,3/16/2020,1.9
33.856892,-80.945007,SC,62,1,0,3/16/2020,2.4
34.840515,-106.248482,NM,35,0,0,3/16/2020,1.8
34.969704,-92.373123,AR,62,0,0,3/16/2020,3.2
35.4437,139.638,Diamond Princess,47,0,0,3/16/2020,
35.565342,-96.928917,OK,45,0,0,3/16/2020,2.8
35.630066,-79.806419,NC,121,0,0,3/16/2020,2.1
35.747845,-86.692345,TN,154,0,0,3/16/2020,4.8
36.116203,-119.681564,CA,934,6,6,3/16/2020,1.8
37.64894,-122.665479,Grand Princess,22,0,0,3/16/2020,
37.66814,-84.670067,KY,36,1,1,3/16/2020,3.2
37.769337,-78.169968,VA,94,1,0,3/16/2020,2.1
38.313515,-117.055374,NV,94,1,0,3/16/2020,2.1
38.456085,-92.288368,MO,29,0,0,3/16/2020,3.1
38.5266,-96.726486,KS,2,1,0,3/16/2020,3.3
38.897438,-77.026817,DC,33,0,0,3/16/2020,4.4
39.059811,-105.311104,CO,40,1,0,3/16/2020,1.9
39.063946,-76.802101,MD,219,0,3,3/16/2020,1.9
39.318523,-75.507141,DE,106,0,0,3/16/2020,2.2
39.684,-79.969,WV,26,0,0,3/16/2020,3.8
39.849426,-86.258278,IN,55,0,0,3/16/2020,2.7
40.150032,-111.862434,UT,66,0,0,3/16/2020,1.8
40.298904,-74.521011,NJ,734,2,1,3/16/2020,2.4
40.349457,-88.986137,IL,418,0,2,3/16/2020,2.5
40.388783,-82.764915,OH,119,0,0,3/16/2020,2.8
40.590752,-77.209755,PA,205,0,0,3/16/2020,2.9
41.12537,-98.268082,NE,29,0,0,3/16/2020,3.6
41.597782,-72.755371,CT,95,0,0,3/16/2020,2
41.680893,-71.51178,RI,33,0,0,3/16/2020,2.1
42.011539,-93.210526,IA,39,0,0,3/16/2020,3
42.165726,-74.948051,NY,5284,10,0,3/16/2020,2.7
42.230171,-71.530106,MA,328,0,1,3/16/2020,2.3
42.755966,-107.30249,WY,18,0,0,3/15/2020,3.5
43.326618,-84.536095,MI,333,0,0,3/16/2020,3.1
43.452492,-71.563896,NH,39,0,0,3/16/2020,2.1
44.045876,-72.710686,VT,22,0,0,3/16/2020,2.1
44.240459,-114.478828,ID,11,0,0,3/15/2020,1.9
44.268543,-89.616508,WI,149,0,1,3/16/2020,2.1
44.299782,-99.438828,SD,10,1,0,3/16/2020,4.8
44.572021,-122.070938,OR,85,1,0,3/16/2020,1.6
44.693947,-69.381927,ME,52,0,0,3/16/2020,2.5
45.694454,-93.900192,MN,89,0,0,3/16/2020,2.5
46.921925,-110.454353,MT,11,0,0,3/15/2020,3.3
47.400902,-121.490494,WA,1119,42,1,3/16/2020,1.7
47.528912,-99.784012,ND,15,0,0,3/12/2020,4.3
61.370716,-152.404419,AK,9,0,0,3/13/2020,2.2
