,country,average
0,Afghanistan,0.9523809523809523
1,Albania,7.0
2,Algeria,2.65
3,Andorra,0.07142857142857142
4,Antigua and Barbuda,0.0
5,Argentina,4.230769230769231
6,Armenia,3.4
7,Aruba,0.0
8,Australia,7.46
9,Austria,50.8
10,Azerbaijan,0.8
11,Bahrain,10.142857142857142
12,Bangladesh,0.625
13,Belarus,2.0588235294117645
14,Belgium,25.78048780487805
15,Benin,
16,Bhutan,0.0
17,Bolivia,1.8
18,Bosnia and Herzegovina,2.090909090909091
19,Brazil,10.473684210526315
20,Brunei,7.571428571428571
21,Bulgaria,6.0
22,Burkina Faso,2.3333333333333335
23,Cambodia,0.12244897959183673
24,Cameroon,0.3
25,Canada,8.28
26,Central African Republic,0.0
27,Chile,11.846153846153847
28,China,1490.462962962963
29,Colombia,5.3
30,Congo (Brazzaville),0.0
31,Congo (Kinshasa),0.2
32,Costa Rica,3.4
33,Cote d'Ivoire,0.0
34,Croatia,2.8
35,Cruise Ship,16.710526315789473
36,Cuba,0.25
37,Cyprus,4.428571428571429
38,Czechia,19.666666666666668
39,Denmark,51.72222222222222
40,Dominican Republic,0.6666666666666666
41,Ecuador,2.066666666666667
42,Egypt,4.806451612903226
43,Equatorial Guinea,0.0
44,Estonia,11.333333333333334
45,Eswatini,0.0
46,Ethiopia,1.3333333333333333
47,Finland,5.872340425531915
48,France,127.84615384615384
49,French Guiana,
50,Gabon,0.0
51,Georgia,1.6842105263157894
52,Germany,148.3877551020408
53,Ghana,1.5
54,Greece,17.36842105263158
55,Greenland,
56,Guadeloupe,1.6666666666666667
57,Guam,
58,Guatemala,0.5
59,Guernsey,0.0
60,Guinea,0.0
61,Guyana,0.75
62,Holy See,0.0
63,Honduras,0.8
64,Hungary,3.0833333333333335
65,Iceland,10.529411764705882
66,India,2.5652173913043477
67,Indonesia,9.428571428571429
68,Iran,576.5
69,Iraq,5.857142857142857
70,Ireland,10.5
71,Israel,10.583333333333334
72,Italy,621.7333333333333
73,Jamaica,1.8
74,Japan,15.24074074074074
75,Jersey,0.0
76,Jordan,1.2307692307692308
77,Kazakhstan,2.0
78,Kenya,0.6666666666666666
79,"Korea, South",152.5
80,Kosovo,0.0
81,Kuwait,5.809523809523809
82,Latvia,2.357142857142857
83,Lebanon,4.083333333333333
84,Liberia,
85,Liechtenstein,0.25
86,Lithuania,0.9411764705882353
87,Luxembourg,4.75
88,Malaysia,11.03921568627451
89,Maldives,1.125
90,Malta,3.0
91,Martinique,1.4444444444444444
92,Mauritania,0.0
93,Mayotte,
94,Mexico,3.0588235294117645
95,Moldova,2.75
96,Monaco,0.375
97,Mongolia,0.0
98,Morocco,2.0
99,Namibia,0.0
100,Nepal,0.0
101,Netherlands,78.5
102,New Zealand,0.4117647058823529
103,Nigeria,0.058823529411764705
104,North Macedonia,0.8947368421052632
105,Norway,70.10526315789474
106,Oman,0.9523809523809523
107,Pakistan,7.052631578947368
108,Panama,9.0
109,Paraguay,0.875
110,Peru,8.5
111,Philippines,3.0652173913043477
112,Poland,14.666666666666666
113,Portugal,23.5
114,Puerto Rico,
115,Qatar,27.375
116,Republic of the Congo,
117,Reunion,1.6
118,Romania,8.263157894736842
119,Russia,1.9555555555555555
120,Rwanda,2.0
121,Saint Lucia,0.5
122,Saint Vincent and the Grenadines,0.0
123,San Marino,6.0
124,Saudi Arabia,8.357142857142858
125,Senegal,1.6428571428571428
126,Serbia,5.4
127,Seychelles,0.5
128,Singapore,4.566037735849057
129,Slovakia,6.2
130,Slovenia,22.818181818181817
131,Somalia,
132,South Africa,5.545454545454546
133,Spain,225.9318181818182
134,Sri Lanka,0.5510204081632653
135,Sudan,0.0
136,Suriname,0.0
137,Sweden,24.488888888888887
138,Switzerland,109.95
139,Taiwan*,1.2222222222222223
140,Tanzania,
141,Thailand,2.685185185185185
142,The Bahamas,
143,Togo,0.0
144,Trinidad and Tobago,1.0
145,Tunisia,1.5833333333333333
146,Turkey,3.4
147,US,85.75925925925925
148,Ukraine,0.46153846153846156
149,United Arab Emirates,2.0
150,United Kingdom,34.422222222222224
151,Uruguay,2.0
152,Uzbekistan,5.0
153,Venezuela,7.5
154,Vietnam,1.1132075471698113
155,occupied Palestinian territory,
